"","Term","ProbAbstract","ProbConcrete","Classification","Jitter"
"hath","hath",2.0785243481419e-05,0.999979214756519,"concrete",0.83815
"telescope","telescope",2.09302189272776e-05,0.999979069781073,"concrete",0.17293
"canoe","canoe",2.21832374759527e-05,0.999977816762524,"concrete",0.14551
"mail","mail",2.25186719078943e-05,0.999977481328092,"concrete",0.13706
"cardinal","cardinal",2.29606284759934e-05,0.999977039371524,"concrete",0.93503
"spear","spear",2.32767940729247e-05,0.999976723205927,"concrete",0.64424
"shines","shines",2.40699028375888e-05,0.999975930097163,"concrete",0.22127
"covenant","covenant",2.48207587690519e-05,0.999975179241231,"concrete",0.7884
"mist","mist",2.51376238782827e-05,0.999974862376122,"concrete",0.91531
"shield","shield",2.51839732935106e-05,0.999974816026706,"concrete",0.95539
"tramps","tramps",2.55166198528694e-05,0.999974483380147,"concrete",0.86049
"everlasting","everlasting",2.60501907471593e-05,0.999973949809253,"concrete",0.6643
"belt","belt",2.61293325596246e-05,0.99997387066744,"concrete",0.23162
"cloudy","cloudy",2.62436131189358e-05,0.999973756386881,"concrete",0.38496
"drops","drops",2.62932745995207e-05,0.999973706725401,"concrete",0.39578
"kettle","kettle",2.73121158692484e-05,0.999972687884131,"concrete",0.56488
"hound","hound",2.73959955638727e-05,0.999972604004436,"concrete",0.7694
"torch","torch",2.76852644116938e-05,0.999972314735588,"concrete",0.88609
"glancing","glancing",2.82122779786116e-05,0.999971787722021,"concrete",0.71092
"tother","tother",2.83820980642318e-05,0.999971617901936,"concrete",0.00099
"begun","begun",2.85396053557807e-05,0.999971460394644,"concrete",0.2927
"quart","quart",2.89775985764641e-05,0.999971022401423,"concrete",0.65328
"skipper","skipper",2.89795454110746e-05,0.999971020454589,"concrete",0.6052
"peal","peal",2.97374672994909e-05,0.9999702625327,"concrete",0.68161
"letter","letter",3.15179952353218e-05,0.999968482004765,"concrete",0.77945
"seventh","seventh",3.18051746546773e-05,0.999968194825345,"concrete",0.25406
"glistening","glistening",3.18787567587042e-05,0.999968121243241,"concrete",0.87834
"portal","portal",3.21881052486181e-05,0.999967811894751,"concrete",0.33722
"rippling","rippling",3.29226742515693e-05,0.999967077325748,"concrete",0.66507
"gilt","gilt",3.29384265984663e-05,0.999967061573402,"concrete",0.49576
"vault","vault",3.37491200686606e-05,0.999966250879931,"concrete",0.74083
"volume","volume",3.41201877865702e-05,0.999965879812214,"concrete",0.26254
"descending","descending",3.42898195792737e-05,0.999965710180421,"concrete",0.02428
"garment","garment",3.67824935705363e-05,0.999963217506429,"concrete",0.66643
"axle","axle",3.87952859448392e-05,0.999961204714055,"concrete",0.42794
"bust","bust",3.91009952091086e-05,0.999960899004791,"concrete",0.00183
"ball","ball",3.95559600081221e-05,0.999960444039992,"concrete",0.05513
"basket","basket",3.99773191290601e-05,0.999960022680871,"concrete",0.62532
"upward","upward",4.00405804298824e-05,0.99995995941957,"concrete",0.85246
"tunic","tunic",4.0849442050654e-05,0.999959150557949,"concrete",0.33375
"u","u",4.12869704835943e-05,0.999958713029516,"concrete",0.54642
"slabs","slabs",4.14585690620716e-05,0.999958541430938,"concrete",0.73333
"asunder","asunder",4.2419786117724e-05,0.999957580213882,"concrete",0.50375
"swift","swift",4.3027511821591e-05,0.999956972488178,"concrete",0.9949
"onion","onion",4.35240531914976e-05,0.999956475946808,"concrete",0.27206
"pail","pail",4.51323940286579e-05,0.999954867605971,"concrete",0.43348
"mirror","mirror",4.51615278369995e-05,0.999954838472163,"concrete",0.51046
"cup","cup",4.51732916723311e-05,0.999954826708328,"concrete",0.60366
"eddies","eddies",4.53104777107379e-05,0.999954689522289,"concrete",0.56209
"omnibus","omnibus",4.55825562105229e-05,0.99995441744379,"concrete",0.48242
"glittering","glittering",4.60618636480617e-05,0.999953938136352,"concrete",0.86368
"lief","lief",4.61593022950826e-05,0.999953840697705,"concrete",0.74691
"drums","drums",4.72483596301833e-05,0.99995275164037,"concrete",0.63455
"liquid","liquid",4.76037404589046e-05,0.999952396259541,"concrete",0.95583
